ID,name,description,url,created,last modified,version,contributors,associated campaigns,associated campaigns citations,relationship citations,name_zh,description_zh
C0010,C0010,"[C0010](https://attack.mitre.org/campaigns/C0010) was a cyber espionage campaign conducted by UNC3890 that targeted Israeli shipping, government, aviation, energy, and healthcare organizations. Security researcher assess UNC3890 conducts operations in support of Iranian interests, and noted several limited technical connections to Iran, including PDB strings and Farsi language artifacts. [C0010](https://attack.mitre.org/campaigns/C0010) began by at least late 2020, and was still ongoing as of mid-2022.(Citation: Mandiant UNC3890 Aug 2022)",https://attack.mitre.org/campaigns/C0010,21 September 2022,04 October 2022,1.0,,,,"(Citation: Mandiant UNC3890 Aug 2022),(Citation: Mandiant UNC3890 Aug 2022),",C0010,[C0010]（https://attack.mitre.org/campaigns/c0010）是由UNC3890进行的网络间谍活动，针对以色列航运，政府，航空，能源和医疗机构。安全研究人员评估UNC3890进行运营以支持伊朗的利益，并注意到与伊朗的几个有限的技术联系，包括PDB字符串和FARSI语言文物。 [C0010]（https://attack.mitre.org/campaigns/c0010）至少始于2020年末，截至2022年中，仍在继续。
C0011,C0011,"[C0011](https://attack.mitre.org/campaigns/C0011) was a suspected cyber espionage campaign conducted by [Transparent Tribe](https://attack.mitre.org/groups/G0134) that targeted students at universities and colleges in India. Security researchers noted this campaign against students was a significant shift from [Transparent Tribe](https://attack.mitre.org/groups/G0134)'s historic targeting Indian government, military, and think tank personnel, and assessed it was still ongoing as of July 2022.(Citation: Cisco Talos Transparent Tribe Education Campaign July 2022) ",https://attack.mitre.org/campaigns/C0011,22 September 2022,22 September 2022,1.0,,,,"(Citation: Cisco Talos Transparent Tribe Education Campaign July 2022),(Citation: Cisco Talos Transparent Tribe Education Campaign July 2022),(Citation: Cisco Talos Transparent Tribe Education Campaign July 2022)",C0011,[C0011](https://attack.mitre.org/campaigns/C0011) was a suspected cyber espionage campaign conducted by [Transparent Tribe](https://attack.mitre.org/groups/G0134) that targeted students at universities和印度的大学。安全研究人员指出，针对学生的这项运动是从[透明部落]（https://attack.mitre.org/groups/g0134）的历史悠久的针对印度政府，军事和智囊团人员的历史性的重大转变，并评估了这一点。截至2022年7月。
C0015,C0015,"[C0015](https://attack.mitre.org/campaigns/C0015) was a ransomware intrusion during which the unidentified attackers used [Bazar](https://attack.mitre.org/software/S0534), [Cobalt Strike](https://attack.mitre.org/software/S0154), and [Conti](https://attack.mitre.org/software/S0575), along with other tools, over a 5 day period. Security researchers assessed the actors likely used the widely-circulated [Conti](https://attack.mitre.org/software/S0575) ransomware playbook based on the observed pattern of activity and operator errors.(Citation: DFIR Conti Bazar Nov 2021)",https://attack.mitre.org/campaigns/C0015,29 September 2022,29 September 2022,1.0,"Matt Brenton, Zurich Insurance Group",,,"(Citation: DFIR Conti Bazar Nov 2021),(Citation: DFIR Conti Bazar Nov 2021),",C0015,[C0015]（https://attack.mitre.org/campaigns/c0015）是一种勒索软件入侵，在此期间，身份不明的攻击者使用了[bazar]（https://attack.mitre.mitre.mitre.mitre.org.org/software/s0534），[cobalt Strike） ]（https://attack.mitre.org/software/s0154）和[conti]（https://attack.mitre.mitre.org/software/s0575）以及其他工具，在5天的时间内。安全研究人员评估了参与者可能使用广泛循环的[conti]（https://attack.mitre.org/software/s0575）基于观察到的活动和操作员错误的模式（引用：DFIR CONTI BAZAR：2021年11月2021年11月2021年11月， ）
C0004,CostaRicto,"[CostaRicto](https://attack.mitre.org/campaigns/C0004) was a suspected hacker-for-hire cyber espionage campaign that targeted multiple industries worldwide, with a large number being financial institutions. [CostaRicto](https://attack.mitre.org/campaigns/C0004) actors targeted organizations in Europe, the Americas, Asia, Australia, and Africa, with a large concentration in South Asia (especially India, Bangladesh, and Singapore), using custom malware, open source tools, and a complex network of proxies and SSH tunnels.(Citation: BlackBerry CostaRicto November 2020)",https://attack.mitre.org/campaigns/C0004,15 September 2022,05 October 2022,1.0,,,,"(Citation: BlackBerry CostaRicto November 2020),(Citation: BlackBerry CostaRicto November 2020),",Costaricto,[Costaricto]（https://attack.mitre.org/campaigns/c0004）是一项涉嫌涉嫌黑客 - 巡回网络间谍活动，针对全球多个行业，大量是金融机构。 [Costaricto]（https://attack.mitre.org/campaigns/c0004）演员针对欧洲，美洲，亚洲，澳大利亚和非洲的组织，在南亚（尤其是印度，孟加拉国和新加坡）集中大量集中，使用自定义恶意软件，开源工具以及复杂的代理和SSH隧道网络。（引用：Blackberry Costaricto 2020年11月）
C0001,Frankenstein,"[Frankenstein](https://attack.mitre.org/campaigns/C0001) was described by security researchers as a highly-targeted campaign conducted by moderately sophisticated and highly resourceful threat actors in early 2019. The unidentified actors primarily relied on open source tools, including [Empire](https://attack.mitre.org/software/S0363). The campaign name refers to the actors' ability to piece together several unrelated open-source tool components.(Citation: Talos Frankenstein June 2019)",https://attack.mitre.org/campaigns/C0001,07 September 2022,21 September 2022,1.0,,,,"(Citation: Talos Frankenstein June 2019),(Citation: Talos Frankenstein June 2019),",科学怪人,安全研究人员将[Frankenstein]（https://attack.mitre.org/campaigns/c0001）描述为2019年初由中等精致且足智多谋的威胁参与者进行的高度定向的运动。工具，包括[Empire]（https://attack.mitre.org/software/s0363）。竞选名称是指演员将几个无关的开源工具组件拼凑在一起的能力。（引用：Talos Frankenstein 2019年6月）
C0007,FunnyDream,"[FunnyDream](https://attack.mitre.org/campaigns/C0007) was a suspected Chinese cyber espionage campaign that targeted government and foreign organizations in Malaysia, the Philippines, Taiwan, Vietnam, and other parts of Southeast Asia. Security researchers linked the [FunnyDream](https://attack.mitre.org/campaigns/C0007) campaign to possible Chinese-speaking threat actors through the use of the [Chinoxy](https://attack.mitre.org/software/S1041) backdoor and noted infrastructure overlap with the TAG-16 threat group.(Citation: Bitdefender FunnyDream Campaign November 2020)(Citation: Kaspersky APT Trends Q1 2020)(Citation: Recorded Future Chinese Activity in Southeast Asia December 2021)",https://attack.mitre.org/campaigns/C0007,20 September 2022,10 October 2022,1.0,,,,"(Citation: Bitdefender FunnyDream Campaign November 2020),(Citation: Bitdefender FunnyDream Campaign November 2020),",有趣的梦,[funnydream]（https://attack.mitre.org/campaigns/c0007）是一场涉嫌中国网络间谍活动，针对马来西亚，菲律宾，台湾，越南和其他地区的政府和外国组织。安全研究人员通过使用[chinoxy]（https://attack.mitre.mitre.orgg/software）将[funnydream]（https://attps://attps://attack.mitre.org/campaigns/c0007）连接到可能的中文威胁参与者/s1041）后门和著名的基础设施与TAG-16威胁小组重叠。
C0002,Night Dragon,"[Night Dragon](https://attack.mitre.org/campaigns/C0002) was a cyber espionage campaign that targeted oil, energy, and petrochemical companies, along with individuals and executives in Kazakhstan, Taiwan, Greece, and the United States. The unidentified threat actors searched for information related to oil and gas field production systems, financials, and collected data from SCADA systems. Based on the observed techniques, tools, and network activities, security researchers assessed the campaign involved a threat group based in China.(Citation: McAfee Night Dragon)",https://attack.mitre.org/campaigns/C0002,08 September 2022,22 September 2022,1.0,,,,"(Citation: McAfee Night Dragon),(Citation: McAfee Night Dragon),",夜龙,[Night Dragon]（https://attack.mitre.org/campaigns/c0002）是一项网络间谍活动，针对石油，能源和石化公司，以及哈萨克斯坦，台湾，希腊以及美国以及美国以及美国的个人和高管。身份不明的威胁参与者搜索了与石油和天然气现场生产系统，财务以及从SCADA系统收集的数据有关的信息。根据观察到的技术，工具和网络活动，安全研究人员评估了该活动涉及一个位于中国的威胁小组。（引文：McAfee Night Dragon）
C0012,Operation CuckooBees,"[Operation CuckooBees](https://attack.mitre.org/campaigns/C0012) was a cyber espionage campaign targeting technology and manufacturing companies in East Asia, Western Europe, and North America since at least 2019. Security researchers noted the goal of [Operation CuckooBees](https://attack.mitre.org/campaigns/C0012), which was still ongoing as of May 2022, was likely the theft of proprietary information, research and development documents, source code, and blueprints for various technologies. Researchers assessed [Operation CuckooBees](https://attack.mitre.org/campaigns/C0012) was conducted by actors affiliated with [Winnti Group](https://attack.mitre.org/groups/G0044), [APT41](https://attack.mitre.org/groups/G0096), and BARIUM.(Citation: Cybereason OperationCuckooBees May 2022)",https://attack.mitre.org/campaigns/C0012,22 September 2022,13 October 2022,1.0,"Andrea Serrano Urea, Telefónica Tech",,,"(Citation: Cybereason OperationCuckooBees May 2022),(Citation: Cybereason OperationCuckooBees May 2022),",行动杜鹃,[行动cuckoobees]（https://attack.mitre.org/campaigns/c0012）是一项网络间谍活动，针对东亚，西欧和北美的技术和制造公司，至少从2019年开始。截至2022年5月，仍在进行的[https://attack.mitre.org/campaigns/c0012）（https://attps.mitre.org/campaigns/c0012）可能是盗窃了专有信息，研究和开发文件，源代码，源代码和蓝图。研究人员评估了[cuckoobees]（https://attack.mitre.org/campaigns/c0012），由隶属于[winnti group]（https://attack.mitre.mitre.mitre.mitre.org/groups/g0044）的演员进行。 （https://attack.mitre.org/groups/g0096）和钡。
C0016,Operation Dust Storm,"[Operation Dust Storm](https://attack.mitre.org/campaigns/C0016) was a long-standing persistent cyber espionage campaign that targeted multiple industries in Japan, South Korea, the United States, Europe, and several Southeast Asian countries. By 2015, the [Operation Dust Storm](https://attack.mitre.org/campaigns/C0016) threat actors shifted from government and defense-related intelligence targets to Japanese companies or Japanese subdivisions of larger foreign organizations supporting Japan's critical infrastructure, including electricity generation, oil and natural gas, finance, transportation, and construction.(Citation: Cylance Dust Storm)

[Operation Dust Storm](https://attack.mitre.org/campaigns/C0016) threat actors also began to use Android backdoors in their operations by 2015, with all identified victims at the time residing in Japan or South Korea.(Citation: Cylance Dust Storm)",https://attack.mitre.org/campaigns/C0016,29 September 2022,30 September 2022,1.0,,,,"(Citation: Cylance Dust Storm),(Citation: Cylance Dust Storm),",动作沙尘暴,"[动作Dist Storm]（https://attack.mitre.org/campaigns/c0016）是一项长期存在的持久网络间谍活动，针对日本，韩国，美国，欧洲和几个东南亚国家的多个行业。到2015年，[https://attack.mitre.org/campaigns/c0016）威胁行为者从政府和国防相关的情报目标转移到日本公司或支持日本关键基础设施的较大外国分区的日本分区的威胁行为者转移了威胁行为者的[行动。包括发电，石油和天然气，金融，运输和建筑。

[https://attack.mitre.org/campaigns/c0016）威胁演员们在2015年之前的行动中也开始使用Android后门，所有居住在日本或韩国时都确定了受害者（引文。 ：cylance dast storm）"
C0006,Operation Honeybee,"[Operation Honeybee](https://attack.mitre.org/campaigns/C0006) was a campaign that targeted humanitarian aid and inter-Korean affairs organizations from at least late 2017 through early 2018. [Operation Honeybee](https://attack.mitre.org/campaigns/C0006) initially targeted South Korea, but expanded to include Vietnam, Singapore, Japan, Indonesia, Argentina, and Canada. Security researchers assessed the threat actors were likely Korean speakers based on metadata used in both lure documents and executables, and named the campaign ""Honeybee"" after the author name discovered in malicious Word documents.(Citation: McAfee Honeybee) ",https://attack.mitre.org/campaigns/C0006,16 September 2022,13 October 2022,1.0,,,,"(Citation: McAfee Honeybee),(Citation: McAfee Honeybee),",蜜蜂行动,[honeybee行动]（https://attack.mitre.org/campaigns/c0006）是一项运动，针对人道主义援助和 - 至少从2017年底到2018年初的人道主义援助和kor-korean事务组织。 Attack.mitre.org/campaigns/c0006）最初以韩国为目标，但扩展到包括越南，新加坡，日本，印度尼西亚，阿根廷和加拿大。安全研究人员评估了威胁参与者可能是基于诱饵文件和可执行文件中使用的元数据的韩国发言人，并在作者名称中以恶意文字文件发现的名字命名了“ honeybee”。（引用：McAfee Honeybee）
