ID,name,description,url,created,last modified,version,contributors,platforms,aliases,type,relationship citations,name_zh,description_zh
S0066,3PARA RAT,[3PARA RAT](https://attack.mitre.org/software/S0066) is a remote access tool (RAT) programmed in C++ that has been used by [Putter Panda](https://attack.mitre.org/groups/G0024). (Citation: CrowdStrike Putter Panda),https://attack.mitre.org/software/S0066,31 May 2017,30 March 2020,1.1,,Windows,,malware,"(Citation: CrowdStrike Putter Panda),,(Citation: CrowdStrike Putter Panda)",3PARA大鼠,[3PARA RAT]（https://attack.mitre.org/software/s0066）是在C ++中编程的远程访问工具（RAT），已由[Putter Panda]（https://attack.mitre.or.org/-组/G0024）。 （引用：Crowdstrike Putter Panda）
S0065,4H RAT,[4H RAT](https://attack.mitre.org/software/S0065) is malware that has been used by [Putter Panda](https://attack.mitre.org/groups/G0024) since at least 2007. (Citation: CrowdStrike Putter Panda),https://attack.mitre.org/software/S0065,31 May 2017,30 March 2020,1.1,,Windows,,malware,"(Citation: CrowdStrike Putter Panda),,(Citation: CrowdStrike Putter Panda)",4H大鼠,[4H RAT]（https://attack.mitre.org/software/s0065）是[Putter Panda]（https://attack.mitre.org/groups/g0024）以来一直使用的恶意软件。 （引用：Crowdstrike Putter Panda）
S0677,AADInternals,"[AADInternals](https://attack.mitre.org/software/S0677) is a PowerShell-based framework for administering, enumerating, and exploiting Azure Active Directory. The tool is publicly available on GitHub.(Citation: AADInternals Github)(Citation: AADInternals Documentation)",https://attack.mitre.org/software/S0677,01 February 2022,03 August 2022,1.1,,"Azure AD, Office 365, Windows",,tool,"(Citation: MSTIC Nobelium Oct 2021),,(Citation: Azure AD Federation Vulnerability),(Citation: Azure AD Recon),(Citation: AADInternals Azure AD On-Prem to Cloud),(Citation: AADInternals Documentation)",Aadinternals,[Aadinternals]（https://attack.mitre.org/software/s0677）是一个基于PowerShell的框架，用于管理，枚举和利用Azure Active Directory。该工具在github上公开可用。
S0469,ABK,[ABK](https://attack.mitre.org/software/S0469) is a downloader that has been used by [BRONZE BUTLER](https://attack.mitre.org/groups/G0060) since at least 2019.(Citation: Trend Micro Tick November 2019),https://attack.mitre.org/software/S0469,10 June 2020,24 June 2020,1.0,,Windows,,malware,"(Citation: Trend Micro Tick November 2019),,(Citation: Trend Micro Tick November 2019)",abk,[abk]（https://attack.mitre.org/software/s0469）是[Bronze Butler]（https://attack.mitre.mitre.org/groups/g0060）以来一直使用的下载器，至少至少在2019年以来。 （引文：趋势微滴答2019年11月）
S0045,ADVSTORESHELL,[ADVSTORESHELL](https://attack.mitre.org/software/S0045) is a spying backdoor that has been used by [APT28](https://attack.mitre.org/groups/G0007) from at least 2012 to 2016. It is generally used for long-term espionage and is deployed on targets deemed interesting after a reconnaissance phase. (Citation: Kaspersky Sofacy) (Citation: ESET Sednit Part 2),https://attack.mitre.org/software/S0045,31 May 2017,30 March 2020,1.1,,Windows,"AZZY, EVILTOSS, NETUI, Sedreco",malware,"(Citation: Securelist Sofacy Feb 2018),(Citation: Kaspersky Sofacy),,(Citation: Bitdefender APT28 Dec 2015),(Citation: ESET Sednit Part 2),(Citation: Kaspersky Sofacy)",Advstoreshell,[https://attack.mitre.org/software/s0045）是一种间谍后门2016年。通常用于长期间谍活动，并在侦察阶段后被视为有趣的目标。 （引文：卡巴斯基·索菲西（Kaspersky Sofacy）（引文：ESET SEDNIT第2部分）
S0073,ASPXSpy,[ASPXSpy](https://attack.mitre.org/software/S0073) is a Web shell. It has been modified by [Threat Group-3390](https://attack.mitre.org/groups/G0027) actors to create the ASPXTool version. (Citation: Dell TG-3390),https://attack.mitre.org/software/S0073,31 May 2017,22 September 2022,1.2,,Windows,ASPXTool,malware,"(Citation: Dell TG-3390),(Citation: Profero APT27 December 2020),(Citation: Volexity Exchange Marauder March 2021),(Citation: FireEye APT41 Aug 2019),(Citation: FireEye APT39 Jan 2019),(Citation: McAfee Night Dragon),(Citation: Dell TG-3390)",aspxspy,[aspxSpy]（https://attack.mitre.org/software/s0073）是一个网络外壳。它已由[theat teht group-3390]（https://attack.mitre.org/groups/g0027）进行了修改，以创建ASPXTOOL版本。 （引文：戴尔TG-3390）
S1028,Action RAT,[Action RAT](https://attack.mitre.org/software/S1028) is a  remote access tool written in Delphi that has been used by [SideCopy](https://attack.mitre.org/groups/G1008) since at least December 2021 against Indian and Afghani government personnel.(Citation: MalwareBytes SideCopy Dec 2021),https://attack.mitre.org/software/S1028,07 August 2022,24 August 2022,1.0,,Windows,,malware,",,(Citation: MalwareBytes SideCopy Dec 2021)",动作老鼠,[Action RAT](https://attack.mitre.org/software/S1028) is a  remote access tool written in Delphi that has been used by [SideCopy](https://attack.mitre.org/groups/G1008)至少从2021年12月开始对印度和阿富汗政府人员进行。
S0552,AdFind,[AdFind](https://attack.mitre.org/software/S0552) is a free command-line query tool that can be used for gathering information from Active Directory.(Citation: Red Canary Hospital Thwarted Ryuk October 2020)(Citation: FireEye FIN6 Apr 2019)(Citation: FireEye Ryuk and Trickbot January 2019),https://attack.mitre.org/software/S0552,28 December 2020,29 September 2022,1.1,,Windows,,tool,"(Citation: Red Canary Hospital Thwarted Ryuk October 2020),(Citation: Microsoft Analyzing Solorigate Dec 2020),(Citation: FireEye FIN6 Apr 2019),(Citation: NCC Group TA505),(Citation: Symantec Cicada November 2020),(Citation: CrowdStrike StellarParticle January 2022),(Citation: ESET T3 Threat Report 2021),(Citation: DFIR Ryuk 2 Hour Speed Run November 2020),(Citation: CrowdStrike Carbon Spider August 2021),(Citation: FireEye Ryuk and Trickbot January 2019),(Citation: DFIR Ryuk's Return October 2020),(Citation: DFIR Conti Bazar Nov 2021),(Citation: FireEye FIN6 Apr 2019),(Citation: Symantec Bumblebee June 2022),(Citation: FireEye Ryuk and Trickbot January 2019),(Citation: Red Canary Hospital Thwarted Ryuk October 2020),(Citation: Cybereason Bumblebee August 2022)",adfind,[adfind]（https://attack.mitre.org/software/s0552）是一种免费的命令行查询工具，可用于从Active Directory收集信息。 ：FireEye Fin6 2019年4月）（引文：Fireeye Ryuk和Trickbot 2019年1月）
S0331,Agent Tesla,[Agent Tesla](https://attack.mitre.org/software/S0331) is a spyware Trojan written for the .NET framework that has been observed since at least 2014.(Citation: Fortinet Agent Tesla April 2018)(Citation: Bitdefender Agent Tesla April 2020)(Citation: Malwarebytes Agent Tesla April 2020),https://attack.mitre.org/software/S0331,29 January 2019,21 April 2021,1.2,,Windows,,malware,"(Citation: Unit42 SilverTerrier 2018),,(Citation: Malwarebytes Agent Tesla April 2020),(Citation: SentinelLabs Agent Tesla Aug 2020),(Citation: DigiTrust Agent Tesla Jan 2017),(Citation: Fortinet Agent Tesla April 2018),(Citation: Bitdefender Agent Tesla April 2020),(Citation: Talos Agent Tesla Oct 2018),(Citation: Fortinet Agent Tesla June 2017)",特工特斯拉,[特工Tesla]（https://attack.mitre.org/software/s0331）是为.NET框架编写的间谍软件特洛伊木马，至少从2014年开始就观察到。 Bitdefender Agent Tesla 2020年4月）（引文：Malwarebytes代理Tesla 2020年4月）
S0092,Agent.btz,[Agent.btz](https://attack.mitre.org/software/S0092) is a worm that primarily spreads itself via removable devices such as USB drives. It reportedly infected U.S. military networks in 2008. (Citation: Securelist Agent.btz),https://attack.mitre.org/software/S0092,31 May 2017,30 March 2020,1.1,,Windows,,malware,",,(Citation: Securelist Agent.btz),(Citation: ThreatExpert Agent.btz)",代理商btz,[agent.btz]（https://attack.mitre.org/software/s0092）是一种蠕虫，主要通过可移动设备（例如USB驱动器）传播自身。据报道，它在2008年感染了美国军事网络。（引文：Securelist Agent.btz）
S1025,Amadey,[Amadey](https://attack.mitre.org/software/S1025) is a Trojan bot that has been used since at least October 2018.(Citation: Korean FSI TA505 2020)(Citation: BlackBerry Amadey 2020),https://attack.mitre.org/software/S1025,14 July 2022,14 October 2022,1.0,,Windows,,malware,"(Citation: Korean FSI TA505 2020),(Citation: BlackBerry Amadey 2020),,(Citation: Korean FSI TA505 2020),(Citation: BlackBerry Amadey 2020)",amadey,[Amadey]（https://attack.mitre.org/software/s1025）是一个木马机器人，至少从2018年10月开始使用。（引用：韩国FSI TA505 2020）（引用：BlackBerry Amadey 2020）
S0504,Anchor,[Anchor](https://attack.mitre.org/software/S0504) is one of a family of backdoor malware that has been used in conjunction with [TrickBot](https://attack.mitre.org/software/S0266) on selected high profile targets since at least 2018.(Citation: Cyberreason Anchor December 2019)(Citation: Medium Anchor DNS July 2020),https://attack.mitre.org/software/S0504,10 September 2020,15 December 2021,1.0,"Cybereason Nocturnus, @nocturnus","Linux, Windows",Anchor_DNS,malware,",,(Citation: Cyberreason Anchor December 2019),(Citation: Medium Anchor DNS July 2020)",锚,[adnador]（https://attack.mitre.org/software/s0504）是一个与[trickbot]（https://attack.mitre.mitre.mitre.org/software/software/s0266）一起使用的后门恶意软件家族之一）至少自2018年以来所选的知名目标。
