ID,name,description,url,created,last modified,version,relationship citations,name_zh,description_zh
M1036,Account Use Policies,"Configure features related to account use like login attempt lockouts, specific login times, etc.",https://attack.mitre.org/mitigations/M1036,11 June 2019,21 October 2022,1.0,,帐户使用政策,配置与帐户使用相关的功能，例如登录尝试锁定，特定的登录时间等。
M1015,Active Directory Configuration,"Configure Active Directory to prevent use of certain techniques; use SID Filtering, etc.",https://attack.mitre.org/mitigations/M1015,06 June 2019,29 May 2020,1.1,"(Citation: ADSecurity Kerberos and KRBTGT),(Citation: SpecterOps Certified Pre Owned),(Citation: Microsoft Replication ACL),(Citation: Microsoft MS14-025),(Citation: Microsoft Netdom Trust Sept 2012),(Citation: AdSecurity Kerberos GT Aug 2015),(Citation: STIG krbtgt reset),(Citation: Microsoft Trust Considerations Nov 2014),(Citation: AdSecurity DCSync Sept 2015),(Citation: Mandiant Defend UNC2452 White Paper),(Citation: Microsoft SID Filtering Quarantining Jan 2009),(Citation: ADSecurity Mimikatz DCSync),(Citation: Microsoft Protected Users Security Group)",Active Directory配置,配置Active Directory以防止使用某些技术；使用SID过滤，等等。
M1049,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.,https://attack.mitre.org/mitigations/M1049,11 June 2019,31 March 2020,1.1,"(Citation: Chkrootkit Main),(Citation: Anomali Template Injection MAR 2018),(Citation: Microsoft AMSI June 2015),(Citation: SourceForge rkhunter)",防病毒/抗原软件,使用签名或启发式方法检测恶意软件。
M1013,Application Developer Guidance,This mitigation describes any guidance or training given to developers of applications to avoid introducing security weaknesses that an adversary may be able to take advantage of.,https://attack.mitre.org/mitigations/M1013,25 October 2017,17 October 2018,1.0,"(Citation: Apple Developer Doco Hardened Runtime),(Citation: FireEye DLL Side-Loading),(Citation: Apple App Security Overview)",应用程序开发人员指导,这种缓解措施描述了给开发人员提供的任何指导或培训，以避免引入对手可能能够利用的安全弱点。
M1048,Application Isolation and Sandboxing,Restrict execution of code to a virtual environment on or in transit to an endpoint system.,https://attack.mitre.org/mitigations/M1048,11 June 2019,31 March 2020,1.1,"(Citation: Microsoft Protected View),(Citation: Windows Blogs Microsoft Edge Sandbox),(Citation: Ars Technica Pwn2Own 2017 VM Escape),(Citation: Kubernetes Hardening Guide)",应用隔离和沙箱,将代码的执行限制为在端点系统上或运输中的虚拟环境中。
M1047,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses.",https://attack.mitre.org/mitigations/M1047,11 June 2019,21 October 2022,1.1,"(Citation: SpecterOps Certified Pre Owned),(Citation: Microsoft Dynamic-Link Library Security),(Citation: FireEye ADFS),(Citation: Stealthbits Cracking AS-REP Roasting Jun 2019),(Citation: Microsoft Preauthentication Jul 2012),(Citation: Microsoft Get-InboxRule),(Citation: Cisco IOS Software Integrity Assurance - Change Control),(Citation: Kubernetes Hardening Guide),(Citation: Microsoft Sxstrace),(Citation: Cisco IOS Software Integrity Assurance - Image File Integrity),(Citation: Amazon S3 Security, 2019),(Citation: Mandiant Azure AD Backdoors),(Citation: Kifarunix - Task Scheduling in Linux),(Citation: GitHub Certify),(Citation: GitHub Bloodhound),(Citation: Vulnerability and Exploit Detector),(Citation: Secureworks - AT.exe Scheduled Task),(Citation: ADSecurity Finding Passwords in SYSVOL),(Citation: Pfammatter - Hidden Inbox Rules),(Citation: Microsoft Tim McMichael Exchange Mail Forwarding 2),(Citation: MagicWeb),(Citation: Microsoft CreateProcess),(Citation: Github UACMe),(Citation: Powersploit),(Citation: Cisco IOS Software Integrity Assurance - Image File Verification),(Citation: GitHub PSPKIAudit)",审计,执行系统，权限，不安全软件，不安全配置等的审核或扫描，以识别潜在的弱点。
M1040,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior.",https://attack.mitre.org/mitigations/M1040,11 June 2019,11 June 2019,1.0,"(Citation: win10_asr),(Citation: Microsoft_rec_block_rules),(Citation: Microsoft driver block rules),(Citation: Malicious Driver Reporting Center),(Citation: Enigma Reviving DDE Jan 2018),(Citation: Microsoft ASR Nov 2017)",端点上的预防行为,使用功能来防止可疑行为模式在端点系统上发生。这可能包括可疑过程，文件，API调用等。
M1046,Boot Integrity,Use secure methods to boot a system and verify the integrity of the operating system and loading mechanisms.,https://attack.mitre.org/mitigations/M1046,11 June 2019,19 May 2020,1.0,"(Citation: Cisco IOS Software Integrity Assurance - Secure Boot),(Citation: TCG Trusted Platform Module),(Citation: TechNet Secure Boot Process),(Citation: ESET LoJax Sept 2018),(Citation: Microsoft TESTSIGNING Feb 2021),(Citation: Intel Hardware-based Security Technologies)",引导完整性,使用安全方法引导系统并验证操作系统和加载机制的完整性。
M1045,Code Signing,Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.,https://attack.mitre.org/mitigations/M1045,11 June 2019,20 May 2020,1.1,"(Citation: Content trust in Docker),(Citation: applescript signing),(Citation: Cisco IOS Software Integrity Assurance - Deploy Signed IOS),(Citation: Content trust in Azure Container Registry)",代码签名,使用数字签名验证执行二进制和应用程序完整性，以防止不信任代码执行。
M1043,Credential Access Protection,Use capabilities to prevent successful credential access by adversaries; including blocking forms of credential dumping.,https://attack.mitre.org/mitigations/M1043,11 June 2019,21 October 2022,1.1,"(Citation: Cisco IOS Software Integrity Assurance - AAA),(Citation: Microsoft Enable Cred Guard April 2017),(Citation: Microsoft Credential Guard April 2017),(Citation: TechNet Credential Guard),(Citation: Cisco IOS Software Integrity Assurance - Credentials Management),(Citation: GitHub SHB Credential Guard)",凭证访问保护,使用功能来防止对手成功获得凭证访问；包括阻止凭证倾销的形式。
M1053,Data Backup,Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise.,https://attack.mitre.org/mitigations/M1053,19 July 2019,31 March 2020,1.1,"(Citation: Rhino S3 Ransomware Part 2),(Citation: Ready.gov IT DRP)",数据备份,从最终用户系统和关键服务器中获取并存储数据备份。确保备份和存储系统被硬化并与公司网络分开以防止妥协。
M1057,Data Loss Prevention,"Use a data loss prevention (DLP) strategy to categorize sensitive data, identify data formats indicative of personal identifiable information (PII), and restrict exfiltration of sensitive data.(Citation: PurpleSec Data Loss Prevention)",https://attack.mitre.org/mitigations/M1057,04 August 2021,30 August 2021,1.0,,预防数据丢失,使用数据丢失预防（DLP）策略来分类敏感数据，识别指示个人可识别信息（PII）（PII）的数据格式，并限制敏感数据的去渗透。（引用：PURPELSEC数据丢失预防）
M1042,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.,https://attack.mitre.org/mitigations/M1042,11 June 2019,31 March 2020,1.1,"(Citation: MRWLabs Office Persistence Add-ins),(Citation: SpecterOps Certified Pre Owned),(Citation: Apple Unified Log Analysis Remote Login and Screen Sharing),(Citation: Microsoft Disable DCOM),(Citation: TechNet Screensaver GP),(Citation: Microsoft Disable VBA Jan 2020),(Citation: BleepingComputer DDE Disabled in Word Dec 2017),(Citation: Microsoft Network access Credential Manager),(Citation: GitHub Disable DDEAUTO Oct 2017),(Citation: Symantec SSH and ssh-agent),(Citation: Microsoft Disable Autorun),(Citation: GitHub MOTW),(Citation: Microsoft ADV170021 Dec 2017),(Citation: ADSecurity Windows Secure Baseline),(Citation: Microsoft Disable Macros),(Citation: Microsoft BEC Campaign),(Citation: ITSyndicate Disabling PHP functions),(Citation: Amazon AWS IMDS V2),(Citation: Gmail Delegation),(Citation: Microsoft AlwaysInstallElevated 2018),(Citation: TechNet Removable Media Control),(Citation: Microsoft DDE Advisory Nov 2017)",禁用或删除功能或程序,删除或拒绝访问不必要且潜在的脆弱软件，以防止对手滥用。
M1055,Do Not Mitigate,This category is to associate techniques that mitigation might increase risk of compromise and therefore mitigation is not recommended.,https://attack.mitre.org/mitigations/M1055,19 July 2019,23 July 2019,1.0,,不要减轻,此类别是将缓解可能增加妥协风险的技术关联，因此不建议进行缓解。
M1041,Encrypt Sensitive Information,Protect sensitive information with strong encryption.,https://attack.mitre.org/mitigations/M1041,11 June 2019,11 June 2019,1.0,"(Citation: US-CERT TA17-156A SNMP Abuse 2017),(Citation: Microsoft Azure Storage Security, 2019),(Citation: SpecterOps Certified Pre Owned),(Citation: Google Cloud Encryption Key Rotation),(Citation: Metcalf 2015),(Citation: Amazon S3 Security, 2019),(Citation: AdSecurity Cracking Kerberos Dec 2015)",加密敏感信息,通过强加密保护敏感信息。
M1039,Environment Variable Permissions,Prevent modification of environment variables by unauthorized users and groups.,https://attack.mitre.org/mitigations/M1039,11 June 2019,11 June 2019,1.0,(Citation: Securing bash history),环境变量权限,防止未经授权的用户和组修改环境变量。
M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",https://attack.mitre.org/mitigations/M1038,11 June 2019,28 February 2022,1.2,"(Citation: Beechey 2010),(Citation: NSA MS AppLocker),(Citation: SANS Application Whitelisting),(Citation: Kubernetes Hardening Guide),(Citation: TechNet Applocker vs SRP),(Citation: Increasing Linux kernel integrity),(Citation: Corio 2008),(Citation: Kernel Self Protection Project),(Citation: Microsoft Application Lockdown),(Citation: Dormann Dangers of VHD 2019),(Citation: Technospot Chrome Extensions GP),(Citation: Default VBS macros Blocking ),(Citation: Kernel.org Restrict Kernel Module),(Citation: Wikibooks Grsecurity),(Citation: Microsoft WDAC),(Citation: Microsoft Driver Block Rules),(Citation: Microsoft ISAPICGIRestriction 2016),(Citation: Cisco IOS Software Integrity Assurance - TACACS),(Citation: Microsoft Using Software Restriction ),(Citation: Microsoft Windows Defender Application Control),(Citation: LKM loading kernel restrictions),(Citation: Windows Commands JPCERT)",预防执行,通过应用程序控件和/或脚本阻塞在系统上执行代码。
M1050,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.,https://attack.mitre.org/mitigations/M1050,11 June 2019,20 June 2020,1.1,"(Citation: Wikipedia Control Flow Integrity),(Citation: TechNet Moving Beyond EMET),(Citation: NSA MS AppLocker),(Citation: Microsoft Windows Defender Application Control),(Citation: TechNet Applocker vs SRP),(Citation: Beechey 2010),(Citation: Secure Host Baseline EMET),(Citation: Windows Commands JPCERT),(Citation: Corio 2008)",利用保护,使用功能来检测和阻止可能导致或指示发生软件的情况的条件。
M1037,Filter Network Traffic,Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.,https://attack.mitre.org/mitigations/M1037,11 June 2019,20 June 2020,1.1,"(Citation: Cisco ARP Poisoning Mitigation 2016),(Citation: US-CERT TA17-156A SNMP Abuse 2017),(Citation: Juniper DAI 2020),(Citation: US-CERT SMB Security),(Citation: byt3bl33d3r NTLM Relaying),(Citation: CERT-EU DDoS March 2017),(Citation: US-CERT APT Energy Oct 2017),(Citation: Microsoft SMB Packet Signing),(Citation: ntlm_relaying_kerberos_del),(Citation: Secure Ideas SMB Relay),(Citation: Microsoft Preventing SMB),(Citation: RedLock Instance Metadata API 2018)",过滤网络流量,使用网络设备来过滤入口或出口流量并执行基于协议的过滤。在端点上配置软件以过滤网络流量。
